name,kind,true_value,k,N,p,p_wy_adjusted,is_count_feature
energy_distance,aggregate,14.205691233710063,18,210,0.08571428571428572,,
max_abs_delta,aggregate,1.0,38,210,0.18095238095238095,,
mean_abs_delta,aggregate,0.4301470588235294,26,210,0.12380952380952381,,
chained_command_rate,feature,0.0,210,210,1.0,1.0,False
command_bigram_entropy_bits,feature,-0.75,14,210,0.06666666666666667,0.638095238095238,False
command_gzip_ratio,feature,0.16666666666666666,160,210,0.7619047619047619,1.0,False
command_ttr,feature,0.25,128,210,0.6095238095238096,1.0,False
complexity_entropy,feature,0.3333333333333333,100,210,0.47619047619047616,1.0,False
complexity_entropy_seq,feature,-0.5,54,210,0.2571428571428571,0.9904761904761905,False
complexity_gini,feature,-0.125,171,210,0.8142857142857143,1.0,False
complexity_gini_seq,feature,0.4166666666666667,74,210,0.3523809523809524,0.9952380952380953,False
complexity_kurtosis,feature,-0.4166666666666667,74,210,0.3523809523809524,0.9952380952380953,False
complexity_kurtosis_seq,feature,-0.4166666666666667,74,210,0.3523809523809524,0.9952380952380953,False
complexity_mad,feature,0.16666666666666666,160,210,0.7619047619047619,1.0,True
complexity_mad_seq,feature,0.25,128,210,0.6095238095238096,1.0,True
distinct_commands,feature,-0.75,14,210,0.06666666666666667,0.638095238095238,True
distinct_mitre_keys,feature,-0.5833333333333334,35,210,0.16666666666666666,0.9380952380952381,True
distinct_sessions,feature,-1.0,1,210,0.004761904761904762,0.18095238095238095,True
distinct_syscalls,feature,0.041666666666666664,210,210,1.0,1.0,True
fail_rate,feature,0.5,54,210,0.2571428571428571,0.9904761904761905,False
fileop_comm_rate,feature,0.3333333333333333,100,210,0.47619047619047616,1.0,False
frac_sub100ms_gaps,feature,0.3333333333333333,100,210,0.47619047619047616,1.0,False
interactive_tool_rate,feature,-0.6666666666666666,24,210,0.11428571428571428,0.819047619047619,False
interactive_tty_rate,feature,0.3333333333333333,100,210,0.47619047619047616,1.0,False
long_pause_count_30s,feature,-0.9166666666666666,4,210,0.01904761904761905,0.3142857142857143,True
mean_argc,feature,-0.6666666666666666,24,210,0.11428571428571428,0.819047619047619,False
mean_flags_per_cmd,feature,-0.75,14,210,0.06666666666666667,0.638095238095238,False
median_cmd_gap_s,feature,0.3333333333333333,100,210,0.47619047619047616,1.0,False
median_event_gap_s,feature,-0.75,11,210,0.05238095238095238,0.638095238095238,False
n_events,feature,0.16666666666666666,160,210,0.7619047619047619,1.0,True
novel_bigram_rate,feature,0.08333333333333333,192,210,0.9142857142857143,1.0,False
privilege_syscall_rate,feature,0.2916666666666667,110,210,0.5238095238095238,1.0,False
ratio_execve_syscall,feature,-0.9166666666666666,4,210,0.01904761904761905,0.3142857142857143,False
ratio_path_syscall,feature,-0.5833333333333334,36,210,0.17142857142857143,0.9380952380952381,False
ratio_sockaddr_syscall,feature,0.16666666666666666,160,210,0.7619047619047619,1.0,False
repeat_command_rate,feature,-0.25,128,210,0.6095238095238096,1.0,False
syscall_entropy_bits,feature,-0.4166666666666667,74,210,0.3523809523809524,0.9952380952380953,False
