actor,class,n_events,span_min,events_per_min,ratio_path_syscall,ratio_execve_syscall,ratio_sockaddr_syscall,median_event_gap_s,frac_sub100ms_gaps,median_cmd_gap_s,long_pause_count_30s,distinct_commands,command_ttr,interactive_tool_rate,repeat_command_rate,mean_argc,mean_flags_per_cmd,chained_command_rate,syscall_entropy_bits,distinct_syscalls,fail_rate,fileop_comm_rate,privilege_syscall_rate,command_bigram_entropy_bits,novel_bigram_rate,command_gzip_ratio,interactive_tty_rate,distinct_sessions,mean_proc_branching,distinct_mitre_keys,complexity_gini,complexity_kurtosis,complexity_entropy,complexity_mad,complexity_gini_seq,complexity_kurtosis_seq,complexity_entropy_seq,complexity_mad_seq
Armin,Human,2427,114.67,21.17,0.835,0.359,0.41,0.006,0.7828,0.024,63,74,0.0923,0.0374,0.9077,5.28,1.84,0.0574,2.166,18,0.043,0.0072,0.0506,6.897,0.1948,0.1628,0.4268,7,1.0,11,0.8806,12.418,2.7754,299.3344,0.6278,222.7844,8.7061,4.0706
Benni,Human,3730,93.15,40.04,0.824,0.229,0.443,0.002,0.8404,0.026,43,70,0.0853,0.067,0.9147,4.41,1.59,0.0305,2.409,16,0.0715,0.0984,0.0537,6.791,0.1598,0.1482,0.4612,8,1.0,10,0.8935,10.9737,2.6172,469.3455,0.7181,222.7513,7.9856,6.7606
Hotti,Human,1552,2880.71,0.54,0.612,0.26,0.509,0.006,0.7531,2.147,20,43,0.1129,0.0446,0.8871,4.66,1.769,0.0866,2.114,15,0.0854,0.0034,0.0854,6.464,0.2368,0.2221,0.4026,7,1.0,8,0.8669,8.3981,2.7374,212.2736,0.6027,99.3956,8.199,3.6635
Marvin,Human,12442,1257.4,9.9,0.92,0.413,0.124,0.002,0.9351,0.004,59,138,0.0277,0.0062,0.9723,4.72,1.738,0.0193,2.659,26,0.0481,0.462,0.0204,6.335,0.0637,0.0966,0.8277,11,1.0,16,0.9516,34.135,2.4246,942.0525,0.8361,536.5837,7.7957,13.7487
Nico,Human,3136,1449.49,2.16,0.754,0.334,0.403,0.006,0.8169,0.021,49,72,0.0721,0.0651,0.9279,5.12,1.776,0.032,2.397,19,0.0438,0.0445,0.0753,6.588,0.1212,0.1284,0.4124,5,1.0,11,0.9028,14.2926,2.7062,347.6116,0.6737,95.8126,8.6418,5.7582
Torina,Human,1294,86.37,14.98,0.802,0.388,0.375,0.007,0.8043,0.017,47,73,0.1648,0.0181,0.8352,5.38,1.959,0.07,2.24,16,0.0465,0.0123,0.0806,6.749,0.3235,0.23,0.2515,7,1.0,13,0.8694,12.3822,2.8772,149.7318,0.5137,163.5373,8.8988,2.1845
GPT4.1,AI,3726,209.35,17.8,0.62,0.189,0.525,0.002,0.8336,0.38,7,68,0.1062,0.0063,0.8938,4.64,1.658,0.0391,2.152,17,0.088,0.1031,0.0753,6.476,0.1925,0.1822,0.5222,4,1.0,10,0.8858,11.8378,2.8052,391.4048,0.7017,101.4422,8.3406,6.0187
GPT4.1_V2,AI,2705,60.47,44.73,0.554,0.231,0.558,0.003,0.7962,0.42,7,59,0.0997,0.0084,0.9003,4.5,1.617,0.0473,1.866,17,0.1037,0.0051,0.1181,6.419,0.1726,0.1729,0.3287,4,1.0,10,0.8822,10.7806,2.7875,313.8633,0.6739,105.1836,8.3253,4.9289
GPT4o,AI,2249,20842.92,0.11,0.756,0.157,0.356,0.0,0.8812,0.052,8,40,0.1212,0.0242,0.8788,4.69,1.621,0.0515,2.724,17,0.0243,0.3163,0.0819,5.941,0.2036,0.1662,0.5436,4,1.0,9,0.8669,7.647,2.5432,316.8809,0.6982,176.319,7.3295,5.5472
GPT5,AI,4130,73.44,56.24,0.771,0.218,0.341,0.001,0.9002,0.005,26,66,0.0776,0.0035,0.9224,4.35,1.121,0.0482,1.902,18,0.2995,0.1764,0.0482,5.23,0.1673,0.1386,0.6331,4,1.0,9,0.9007,13.9394,2.7917,413.067,0.7606,50.8247,7.7454,7.4357
