name,kind,true_value,k,N,p,p_wy_adjusted,is_count_feature
energy_distance,aggregate,16.953993782293903,2,70,0.02857142857142857,,
max_abs_delta,aggregate,1.0,36,70,0.5142857142857142,,
mean_abs_delta,aggregate,0.5735294117647058,2,70,0.02857142857142857,,
chained_command_rate,feature,0.5,24,70,0.34285714285714286,1.0,False
command_bigram_entropy_bits,feature,0.5,24,70,0.34285714285714286,1.0,False
command_gzip_ratio,feature,-0.5,24,70,0.34285714285714286,1.0,False
command_ttr,feature,-1.0,2,70,0.02857142857142857,0.5142857142857142,False
complexity_entropy,feature,0.0,70,70,1.0,1.0,False
complexity_entropy_seq,feature,-0.25,48,70,0.6857142857142857,1.0,False
complexity_gini,feature,0.625,14,70,0.2,1.0,False
complexity_gini_seq,feature,1.0,2,70,0.02857142857142857,0.5142857142857142,False
complexity_kurtosis,feature,0.25,48,70,0.6857142857142857,1.0,False
complexity_kurtosis_seq,feature,0.5,24,70,0.34285714285714286,1.0,False
complexity_mad,feature,1.0,2,70,0.02857142857142857,0.5142857142857142,True
complexity_mad_seq,feature,1.0,2,70,0.02857142857142857,0.5142857142857142,True
distinct_commands,feature,0.0625,68,70,0.9714285714285714,1.0,True
distinct_mitre_keys,feature,0.5,16,70,0.22857142857142856,1.0,True
distinct_sessions,feature,-0.3125,44,70,0.6285714285714286,1.0,True
distinct_syscalls,feature,0.5,22,70,0.3142857142857143,1.0,True
fail_rate,feature,0.0,70,70,1.0,1.0,False
fileop_comm_rate,feature,0.5,24,70,0.34285714285714286,1.0,False
frac_sub100ms_gaps,feature,0.875,4,70,0.05714285714285714,0.6571428571428571,False
interactive_tool_rate,feature,-1.0,2,70,0.02857142857142857,0.5142857142857142,False
interactive_tty_rate,feature,0.5,24,70,0.34285714285714286,1.0,False
long_pause_count_30s,feature,-0.125,64,70,0.9142857142857143,1.0,True
mean_argc,feature,0.0,70,70,1.0,1.0,False
mean_flags_per_cmd,feature,-0.125,62,70,0.8857142857142857,1.0,False
median_cmd_gap_s,feature,0.5,24,70,0.34285714285714286,1.0,False
median_event_gap_s,feature,-1.0,2,70,0.02857142857142857,0.5142857142857142,False
n_events,feature,1.0,2,70,0.02857142857142857,0.5142857142857142,True
novel_bigram_rate,feature,-0.75,8,70,0.11428571428571428,0.8571428571428571,False
privilege_syscall_rate,feature,0.625,14,70,0.2,1.0,False
ratio_execve_syscall,feature,-1.0,2,70,0.02857142857142857,0.5142857142857142,False
ratio_path_syscall,feature,-0.875,4,70,0.05714285714285714,0.6571428571428571,False
ratio_sockaddr_syscall,feature,0.625,14,70,0.2,1.0,False
repeat_command_rate,feature,1.0,2,70,0.02857142857142857,0.5142857142857142,False
syscall_entropy_bits,feature,-0.5,24,70,0.34285714285714286,1.0,False
