outer_i,val_human,val_ai,test_human,test_ai,n_train,n_val,n_test,selected_load_name,selected_model,selected_model_params,selected_vectorizer,val_f1_macro,val_balanced_accuracy,test_f1_macro,test_balanced_accuracy,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_mcc,val_cohen_kappa,val_per_class_metrics,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_mcc,test_cohen_kappa,test_per_class_metrics
1,Hotti,GPT5,Marvin,GPT4.1,1902,659,2094,cids_ws30_st30_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.22104018912529552,0.5,0.4452980132450331,0.5,0.1418816388467375,0.08052159776734419,0.5,0.283763277693475,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 472.0}, ""human"": {""f1-score"": 0.44208037825059104, ""precision"": 0.283763277693475, ""recall"": 1.0, ""support"": 187.0}}",0.40138490926456544,0.6444393815412938,0.5,0.8027698185291309,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 413.0}, ""human"": {""f1-score"": 0.8905960264900662, ""precision"": 0.8027698185291309, ""recall"": 1.0, ""support"": 1681.0}}"
2,Hotti,GPT5,Torina,GPT4.1,3423,659,573,cids_ws30_st30_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.22104018912529552,0.5,0.21828103683492497,0.5,0.1418816388467375,0.08052159776734419,0.5,0.283763277693475,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 472.0}, ""human"": {""f1-score"": 0.44208037825059104, ""precision"": 0.283763277693475, ""recall"": 1.0, ""support"": 187.0}}",0.13961605584642234,0.07797057220044529,0.5,0.2792321116928447,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 413.0}, ""human"": {""f1-score"": 0.43656207366984995, ""precision"": 0.2792321116928447, ""recall"": 1.0, ""support"": 160.0}}"
3,Benni,GPT4o,Armin,GPT4.1,3215,715,725,cids_ws30_st30_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.39458086367485184,0.5,0.3008678881388621,0.5,0.3258741258741259,0.42477578365690255,0.5,0.6517482517482518,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 249.0}, ""human"": {""f1-score"": 0.7891617273497037, ""precision"": 0.6517482517482518, ""recall"": 1.0, ""support"": 466.0}}",0.21517241379310345,0.18519667063020215,0.5,0.4303448275862069,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 413.0}, ""human"": {""f1-score"": 0.6017357762777242, ""precision"": 0.4303448275862069, ""recall"": 1.0, ""support"": 312.0}}"
4,Marvin,GPT4.1,Hotti,GPT5,2849,3139,987,cids_ws40_st20_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.44540636042402826,0.5,0.22037914691943128,0.5,0.4015610066900287,0.645004968375637,0.5,0.8031220133800574,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 618.0}, ""human"": {""f1-score"": 0.8908127208480565, ""precision"": 0.8031220133800574, ""recall"": 1.0, ""support"": 2521.0}}",0.1413373860182371,0.07990502674587263,0.5,0.2826747720364742,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 708.0}, ""human"": {""f1-score"": 0.44075829383886256, ""precision"": 0.2826747720364742, ""recall"": 1.0, ""support"": 279.0}}"
5,Marvin,GPT5,Torina,GPT4.1_V2,2028,2153,474,cids_ws30_st30_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.4384454877412624,0.5,0.25236593059936907,0.5,0.3903855085926614,0.6096033812766036,0.5,0.7807710171853228,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 472.0}, ""human"": {""f1-score"": 0.8768909754825248, ""precision"": 0.7807710171853228, ""recall"": 1.0, ""support"": 1681.0}}",0.16877637130801687,0.11394185404760632,0.5,0.33755274261603374,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 314.0}, ""human"": {""f1-score"": 0.5047318611987381, ""precision"": 0.33755274261603374, ""recall"": 1.0, ""support"": 160.0}}"
6,Nico,GPT4.1,Torina,GPT4o,3432,814,409,cids_ws30_st30_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.3300411522633745,0.5,0.281195079086116,0.5,0.2463144963144963,0.24268332437865606,0.5,0.4926289926289926,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 413.0}, ""human"": {""f1-score"": 0.660082304526749, ""precision"": 0.4926289926289926, ""recall"": 1.0, ""support"": 401.0}}",0.19559902200489,0.15303590963707775,0.5,0.39119804400978,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 249.0}, ""human"": {""f1-score"": 0.562390158172232, ""precision"": 0.39119804400978, ""recall"": 1.0, ""support"": 160.0}}"
7,Torina,GPT4.1,Nico,GPT4o,10297,1719,1950,cids_ws20_st10_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.21863636363636363,0.5,0.3813451776649746,0.5,0.13990692262943571,0.07829578799855565,0.5,0.27981384525887143,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 1238.0}, ""human"": {""f1-score"": 0.43727272727272726, ""precision"": 0.27981384525887143, ""recall"": 1.0, ""support"": 481.0}}",0.3082051282051282,0.37996160420775804,0.5,0.6164102564102564,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 748.0}, ""human"": {""f1-score"": 0.7626903553299492, ""precision"": 0.6164102564102564, ""recall"": 1.0, ""support"": 1202.0}}"
8,Armin,GPT5,Marvin,GPT4o,5821,2354,5791,cids_ws20_st10_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.28471589182619267,0.5,0.46547904744323426,0.5,0.1990229396771453,0.15844052207093043,0.5,0.3980458793542906,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 1417.0}, ""human"": {""f1-score"": 0.5694317836523853, ""precision"": 0.3980458793542906, ""recall"": 1.0, ""support"": 937.0}}",0.4354170264203074,0.7583519475868107,0.5,0.8708340528406148,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 748.0}, ""human"": {""f1-score"": 0.9309580948864685, ""precision"": 0.8708340528406148, ""recall"": 1.0, ""support"": 5043.0}}"
9,Torina,GPT4.1_V2,Nico,GPT4o,5292,710,973,cids_ws40_st20_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.25263157894736843,0.5,0.3814367450731087,0.5,0.16901408450704225,0.11426304304701448,0.5,0.3380281690140845,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 470.0}, ""human"": {""f1-score"": 0.5052631578947369, ""precision"": 0.3380281690140845, ""recall"": 1.0, ""support"": 240.0}}",0.30832476875642345,0.38025665211480797,0.5,0.6166495375128469,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 373.0}, ""human"": {""f1-score"": 0.7628734901462174, ""precision"": 0.6166495375128469, ""recall"": 1.0, ""support"": 600.0}}"
10,Benni,GPT5,Hotti,GPT4.1_V2,3216,938,501,cids_ws30_st30_soft_cid,dummy_most_frequent,{},"VectorizerConfig(analyzer='word', ngram_range=(1, 1), min_df=1, max_df=1.0, sublinear_tf=False, lowercase=True, max_features=1000, binary=False)",0.3319088319088319,0.5,0.27180232558139533,0.5,0.2484008528784648,0.24681193484299488,0.5,0.4968017057569296,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 472.0}, ""human"": {""f1-score"": 0.6638176638176638, ""precision"": 0.4968017057569296, ""recall"": 1.0, ""support"": 466.0}}",0.18662674650698602,0.1393181700471313,0.5,0.37325349301397204,0.0,0.0,"{""ai"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 314.0}, ""human"": {""f1-score"": 0.5436046511627907, ""precision"": 0.37325349301397204, ""recall"": 1.0, ""support"": 187.0}}"
